epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.638,1.59782,4.18904,1.88668,0.50761,0.08818,0.04107,0.01715,1.78369,3.24356,2.2049,0.00332311,0.00332311,0.00332311
2,352.327,1.60709,3.48398,1.83709,0.35664,0.17385,0.12449,0.05562,1.87878,2.83367,2.22859,0.00663448,0.00663448,0.00663448
3,492.142,1.67172,3.21358,1.86928,0.33053,0.15913,0.05909,0.02213,2.01072,3.42366,2.54202,0.00992384,0.00992384,0.00992384
4,631.255,1.7103,3.11558,1.8982,0.28944,0.18468,0.11406,0.0477,2.01893,2.96202,2.36776,0.009901,0.009901,0.009901
5,770.609,1.69551,2.89301,1.8931,0.36535,0.24364,0.18354,0.08127,1.85736,2.68202,2.22271,0.009868,0.009868,0.009868
6,909.729,1.67381,2.75902,1.86894,0.3945,0.25583,0.18373,0.08268,1.84224,2.82666,2.2474,0.009835,0.009835,0.009835
7,1048.99,1.67329,2.64906,1.85341,0.4435,0.32219,0.27713,0.12941,1.79773,2.36234,2.16159,0.009802,0.009802,0.009802
8,1188.19,1.6527,2.57024,1.8403,0.42618,0.29728,0.25073,0.11978,1.86345,2.49466,2.21576,0.009769,0.009769,0.009769
9,1327.56,1.63122,2.50794,1.81915,0.42539,0.33655,0.30954,0.14834,1.80774,2.24669,2.13772,0.009736,0.009736,0.009736
10,1466.75,1.62344,2.43819,1.80766,0.39072,0.35803,0.29734,0.1359,1.7791,2.26986,2.09129,0.009703,0.009703,0.009703
11,1605.98,1.60754,2.38039,1.7845,0.4607,0.34511,0.34216,0.16078,1.80587,2.19334,2.11292,0.00967,0.00967,0.00967
12,1745.34,1.59126,2.3276,1.77538,0.38293,0.36485,0.32734,0.15367,1.82454,2.17594,2.10204,0.009637,0.009637,0.009637
13,1884.46,1.58607,2.29194,1.76724,0.43578,0.40395,0.35993,0.17404,1.77579,2.10971,2.06799,0.009604,0.009604,0.009604
14,2023.93,1.58281,2.25076,1.76043,0.49762,0.40935,0.39318,0.20286,1.74755,2.04342,2.05295,0.009571,0.009571,0.009571
15,2163.22,1.56593,2.23138,1.75711,0.5042,0.39673,0.40379,0.20331,1.71753,2.02689,2.04285,0.009538,0.009538,0.009538
16,2302.5,1.55198,2.16821,1.7371,0.54559,0.41237,0.42704,0.21165,1.75823,1.96206,2.05264,0.009505,0.009505,0.009505
17,2442.16,1.54993,2.13868,1.7275,0.48613,0.44706,0.42879,0.21703,1.7536,1.90682,2.02124,0.009472,0.009472,0.009472
18,2581.26,1.54276,2.12568,1.73214,0.51908,0.42942,0.42417,0.2146,1.73532,1.90822,2.03121,0.009439,0.009439,0.009439
19,2720.63,1.53351,2.08648,1.715,0.51098,0.45425,0.45897,0.23233,1.72101,1.87377,2.02381,0.009406,0.009406,0.009406
20,2859.78,1.50815,2.04836,1.69885,0.49776,0.45396,0.44363,0.22709,1.69569,1.89344,1.99292,0.009373,0.009373,0.009373
21,2999.08,1.52068,2.04432,1.70599,0.5064,0.4737,0.46262,0.24099,1.70281,1.82705,1.98566,0.00934,0.00934,0.00934
22,3138.38,1.4965,2.03374,1.69516,0.53199,0.49644,0.49181,0.26021,1.65161,1.80272,1.96472,0.009307,0.009307,0.009307
23,3278.1,1.49455,1.98989,1.68819,0.51055,0.46105,0.45694,0.24317,1.71268,1.83357,2.0096,0.009274,0.009274,0.009274
24,3417.41,1.49496,1.97562,1.68281,0.5083,0.48839,0.47648,0.24343,1.68228,1.81753,1.98871,0.009241,0.009241,0.009241
25,3556.64,1.47763,1.94431,1.6721,0.53405,0.53621,0.52131,0.28036,1.65129,1.70579,1.95852,0.009208,0.009208,0.009208
