epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.826,1.61279,4.16042,1.88944,0.34015,0.09169,0.04535,0.01995,1.86432,3.20724,2.22695,0.00332311,0.00332311,0.00332311
2,283.055,1.62518,3.45827,1.83906,0.35668,0.21652,0.14321,0.05659,1.97011,2.83155,2.23285,0.00663448,0.00663448,0.00663448
3,420.177,1.67882,3.19942,1.87174,0.32214,0.1756,0.11949,0.05259,1.9976,2.95573,2.36653,0.00992384,0.00992384,0.00992384
4,556.611,1.70574,3.08885,1.90949,0.34324,0.2332,0.1661,0.07273,1.92985,2.76123,2.36367,0.009901,0.009901,0.009901
5,693.244,1.67321,2.85408,1.87256,0.29791,0.28301,0.197,0.09011,1.85094,2.65538,2.20305,0.009868,0.009868,0.009868
6,829.855,1.65196,2.6956,1.85222,0.42425,0.30194,0.26354,0.12794,1.8234,2.52389,2.21769,0.009835,0.009835,0.009835
7,966.388,1.63492,2.58205,1.83724,0.41884,0.29405,0.26955,0.13424,1.8359,2.46618,2.22477,0.009802,0.009802,0.009802
8,1102.84,1.62285,2.49537,1.81931,0.46064,0.33996,0.3328,0.16479,1.80274,2.21154,2.12965,0.009769,0.009769,0.009769
9,1239.51,1.59219,2.42793,1.79834,0.47065,0.34834,0.3351,0.16136,1.80679,2.14745,2.10421,0.009736,0.009736,0.009736
10,1375.61,1.58595,2.34315,1.77887,0.41099,0.40639,0.36396,0.17062,1.78132,2.12872,2.1003,0.009703,0.009703,0.009703
11,1512.07,1.56573,2.26908,1.76445,0.39042,0.32881,0.30297,0.14745,1.82156,2.25554,2.16216,0.00967,0.00967,0.00967
12,1648.36,1.55241,2.22098,1.75218,0.44586,0.39961,0.39999,0.19774,1.74082,2.02047,2.01714,0.009637,0.009637,0.009637
13,1785.04,1.5415,2.19167,1.74239,0.49421,0.41556,0.4161,0.21469,1.74424,1.94267,2.02903,0.009604,0.009604,0.009604
