epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6751.26,1.32769,1.56538,1.55471,0.64589,0.56794,0.62272,0.36813,1.47874,1.37545,1.77846,0.008614,0.008614,0.008614
44,6907.69,1.30801,1.52915,1.53604,0.72612,0.56467,0.64699,0.38645,1.47731,1.27668,1.77827,0.008581,0.008581,0.008581
45,7064.03,1.31297,1.50948,1.5381,0.69954,0.59831,0.67435,0.40211,1.45166,1.25997,1.74719,0.008548,0.008548,0.008548
46,7220.55,1.30263,1.50907,1.53657,0.68233,0.60619,0.66255,0.39169,1.47435,1.24574,1.76069,0.008515,0.008515,0.008515
47,7377,1.32295,1.52421,1.54418,0.70209,0.56953,0.65835,0.39979,1.46231,1.24922,1.7679,0.008482,0.008482,0.008482
48,7533.5,1.30429,1.5011,1.53262,0.69228,0.60585,0.65679,0.39853,1.44164,1.25368,1.73777,0.008449,0.008449,0.008449
49,7689.78,1.28892,1.49974,1.52292,0.71596,0.63017,0.68834,0.41161,1.44639,1.19667,1.74046,0.008416,0.008416,0.008416
50,7846.2,1.2905,1.47956,1.52143,0.70744,0.62165,0.67722,0.41525,1.41194,1.20304,1.71332,0.008383,0.008383,0.008383
51,8002.3,1.27874,1.45929,1.5104,0.70032,0.61093,0.67307,0.42047,1.39154,1.19444,1.69438,0.00835,0.00835,0.00835
52,8158.45,1.2712,1.43822,1.50444,0.67822,0.64251,0.68891,0.41909,1.40252,1.19694,1.68461,0.008317,0.008317,0.008317
53,8314.83,1.27561,1.44343,1.50807,0.71727,0.63324,0.68519,0.42477,1.4002,1.17584,1.70216,0.008284,0.008284,0.008284
54,8473.58,1.25666,1.42924,1.49385,0.77295,0.60461,0.69728,0.43153,1.41345,1.16236,1.71329,0.008251,0.008251,0.008251
55,8630.82,1.25777,1.43489,1.4977,0.75796,0.63073,0.71031,0.44467,1.37787,1.14926,1.67664,0.008218,0.008218,0.008218
56,8786.9,1.2523,1.39856,1.4851,0.6619,0.65616,0.68448,0.42622,1.39535,1.14635,1.69074,0.008185,0.008185,0.008185
